epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2116.31,1.64153,1.88928,1.72684,0.64451,0.67088,0.65567,0.22609,2.24499,1.75634,2.34066,0.000663139,0.000663139,0.000663139
2,4259.87,1.57352,1.48618,1.60934,0.74348,0.75555,0.77717,0.32585,1.96436,1.42996,1.90484,0.00130348,0.00130348,0.00130348
3,6444.21,1.57449,1.38939,1.60626,0.69486,0.79196,0.68148,0.35917,1.50413,1.1386,1.49168,0.00191741,0.00191741,0.00191741
4,8794.73,1.52657,1.28199,1.56491,0.75128,0.82671,0.77795,0.31056,2.09404,1.12533,2.02624,0.0018812,0.0018812,0.0018812
5,10946.4,1.5023,1.22626,1.54487,0.79086,0.80871,0.82783,0.42754,1.64013,0.94658,1.59597,0.0018416,0.0018416,0.0018416
6,13023.3,1.48056,1.19244,1.52564,0.80217,0.82838,0.84602,0.39157,1.76796,0.97195,1.68393,0.001802,0.001802,0.001802
7,15168.6,1.46375,1.15657,1.50216,0.77269,0.85943,0.84302,0.46787,1.45854,0.89716,1.46772,0.0017624,0.0017624,0.0017624
8,17146.6,1.4349,1.1403,1.49702,0.80161,0.8389,0.84831,0.47485,1.46379,0.82044,1.48242,0.0017228,0.0017228,0.0017228
9,2595.21,1.44328,1.13567,1.48479,0.76647,0.8614,0.82897,0.45416,1.4539,0.82352,1.46985,0.0016832,0.0016832,0.0016832
10,4413.04,1.42459,1.22074,1.58213,0.7874,0.84722,0.82173,0.44499,1.4715,0.88668,1.51983,0.0016436,0.0016436,0.0016436
11,6816.33,1.43854,1.13355,1.50113,0.78272,0.85475,0.81795,0.40706,1.69731,0.89311,1.61672,0.001604,0.001604,0.001604
12,2139.4,1.3579,1.12079,1.50658,0.77811,0.81457,0.81409,0.39681,1.80438,1.0208,1.75482,0.0015644,0.0015644,0.0015644
13,4082.36,1.38333,1.07365,1.47593,0.80042,0.84275,0.84271,0.47929,1.39535,0.84407,1.45363,0.0015248,0.0015248,0.0015248
14,6797.29,1.39083,1.07762,1.49205,0.79353,0.83977,0.83099,0.44018,1.595,0.82953,1.55929,0.0014852,0.0014852,0.0014852
15,10417.1,1.37909,1.05477,1.48493,0.82163,0.82716,0.85012,0.35446,2.13004,0.95273,2.03045,0.0014456,0.0014456,0.0014456
16,2819.65,1.31559,1.0138,1.44317,0.82572,0.84219,0.86196,0.49892,1.35863,0.79425,1.42373,0.001406,0.001406,0.001406
17,4853.18,1.32036,1.00423,1.4365,0.793,0.84554,0.83586,0.47324,1.41133,0.81759,1.44034,0.0013664,0.0013664,0.0013664
18,6771.57,1.32232,1.01743,1.44308,0.79216,0.85308,0.84029,0.41937,1.72985,0.88618,1.64927,0.0013268,0.0013268,0.0013268
19,2476.65,1.30199,1.1517,1.59008,0.82061,0.84847,0.85362,0.492,1.39614,0.88684,1.51219,0.0012872,0.0012872,0.0012872
20,4736.75,1.28629,1.01895,1.49536,0.77452,0.85643,0.82566,0.46674,1.4077,0.80868,1.4748,0.0012476,0.0012476,0.0012476
